Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.33uf,C_0603_1608Metric,127.045,-111.125,90,bottom
C32,100 nf,C_0603_1608Metric,138.395,-106.85,-90,bottom
C33,100 nf,C_0603_1608Metric,139.97,-106.85,-90,bottom
C41,0.33uf,C_0805_2012Metric,123.895,-110.375,90,bottom
C42,100nf,C_0402_1005Metric,123.065,-106.925,180,bottom
C54,22uf,C_1210_3225Metric,113.1,-107.825,90,bottom
C55,22uf,C_1210_3225Metric,113.1,-112.5,-90,bottom
C56,22uf,C_1210_3225Metric,116.375,-112.5,-90,bottom
C59,100nf,C_0603_1608Metric,122.62,-97.025,90,bottom
C61,1uf,C_0603_1608Metric,130.445,-96.36,0,bottom
C62,10nf,C_0603_1608Metric,130.445,-94.835,0,bottom
C63,22uf,C_1210_3225Metric,116.375,-107.825,90,bottom
C64,22uf,C_1210_3225Metric,119.65,-107.825,90,bottom
C65,22uf,C_1210_3225Metric,119.65,-112.5,-90,bottom
R43,LRMAP3920C-R001FT,RESC10052X136N,135.345,-101,0,bottom
R44,1k,R_0402_1005Metric,137.075,-105.61,-90,bottom
R55,10k,R_0603_1608Metric,136.895,-96.025,-90,bottom
R59,10k,R_0402_1005Metric,118.26,-92.625,0,bottom
U2,L7809,TO-263-2,116.695,-85.96,180,bottom
U6,STM32F051C8Ux,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,117.27,-98.0125,180,bottom
A,MOTORA,MountingHole_3.7mm_Pad_Via,182.145,-84.875,0,top
B,MOTORB,MountingHole_3.7mm_Pad_Via,182.157779,-96.037221,0,top
BATT+,Conn_01x01_Pin,capacitor_hole_custom,136.18,-78.48,0,top
BATT+,BATT+,MountingHole_4.3mm_M4_Pad_Via,131.645,-83.35,0,top
BATT+,Conn_01x01_Pin,capacitor_hole_custom,136.94,-115.47,0,top
C,MOTORC,MountingHole_3.7mm_Pad_Via,182.13,-107.225,0,top
C1,0.1uf,C_0603_1608Metric,121.095,-85.95,180,top
C34,10uf,C_0603_1608Metric,108.27,-95.0225,0,top
C35,100nf,C_0603_1608Metric,108.28,-96.5375,0,top
C36,1uf,C_1206_3216Metric,123.72,-92.15,0,top
C37,1uf,C_1206_3216Metric,127.27,-95.1,-90,top
C38,1uf,C_1206_3216Metric,127.07,-100.825,-90,top
C39,0.33uf,C_0805_2012Metric,160.925,-112.9,-90,top
C40,0.1uf,C_0402_1005Metric,172.2,-112.48,90,top
C43,2.2uf,C_0603_1608Metric,112.57,-83.95,180,top
C44,470pf,C_0603_1608Metric,117.37,-86.275,180,top
C57,10uf,C_0603_1608Metric,119.17,-91.745,180,top
C58,100nf,C_0603_1608Metric,119.17,-90.225,180,top
C60,100nf,C_0603_1608Metric,119.17,-88.7,180,top
D2,SS23,D_SMA,117.295,-81.75,90,top
GND,GND,MountingHole_4.3mm_M4_Pad_Via,132.814581,-109.280419,0,top
GND,Conn_01x01_Pin,capacitor_hole_custom,129.43,-115.5,0,top
GND,Conn_01x01_Pin,capacitor_hole_custom,130.84,-92.17,0,top
IC5,DRV8300DPWR,SOP65P640X120-20N,116.607,-98.624998,0,top
IC6,AS78L05RTR-G1,ZXTP19060CZTA,168.37,-114.05,180,top
IC7,L7805ACD2T-TR,TO-263-2,117.895,-109.415,180,top
IC8,MIC5209-3.3YM-TR,SOIC127P599X173-8N,123.258,-80.58,0,top
J1,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,109.6,-108.225,0,top
J2,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,109.15,-78.5,90,top
J4,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,108.4,-84.65,0,top
LED1,SML-D12U1WT86,LEDC1608X65N,164.05,-113.125,90,top
Q13,"TPH1R204PB,L1Q",TPH1R306PLL1Q,154.905,-85.825,0,top
Q14,"TPH1R204PB,L1Q",TPH1R306PLL1Q,171.48,-95.075,180,top
Q15,"TPH1R204PB,L1Q",TPH1R306PLL1Q,146.675,-108.225,0,top
Q16,"TPH1R204PB,L1Q",TPH1R306PLL1Q,146.655,-85.825,0,top
Q17,"TPH1R204PB,L1Q",TPH1R306PLL1Q,163.22,-95.075,180,top
Q18,"TPH1R204PB,L1Q",TPH1R306PLL1Q,154.935,-108.225,0,top
Q19,"TPH1R204PB,L1Q",TPH1R306PLL1Q,163.205,-83.875,180,top
Q20,"TPH1R204PB,L1Q",TPH1R306PLL1Q,146.67,-97.025,0,top
Q21,"TPH1R204PB,L1Q",TPH1R306PLL1Q,163.245,-106.275,180,top
Q22,"TPH1R204PB,L1Q",TPH1R306PLL1Q,171.455,-83.875,180,top
Q23,"TPH1R204PB,L1Q",TPH1R306PLL1Q,154.92,-97.025,0,top
Q24,"TPH1R204PB,L1Q",TPH1R306PLL1Q,171.495,-106.275,180,top
R31,5Ω,R_0402_1005Metric,159.02,-88.635,-90,top
R32,5Ω,R_0402_1005Metric,167.42,-92.285,-90,top
R33,5Ω,R_0402_1005Metric,150.755,-110.935,90,top
R34,5Ω,R_0402_1005Metric,150.775,-88.81,-90,top
R35,5Ω,R_0402_1005Metric,159.12,-92.385,90,top
R36,5Ω,R_0402_1005Metric,159.045,-111.085,-90,top
R37,5Ω,R_0402_1005Metric,159.095,-81.09,-90,top
R38,5Ω,R_0402_1005Metric,150.775,-99.865,90,top
R39,5Ω,R_0402_1005Metric,159.155,-103.34,90,top
R40,5Ω,R_0402_1005Metric,167.345,-81.115,-90,top
R41,5Ω,R_0402_1005Metric,159.07,-99.785,90,top
R42,5Ω,R_0402_1005Metric,167.355,-103.265,-90,top
R45,10k,R_0402_1005Metric,176.42,-90.15,180,top
R46,1k,R_0402_1005Metric,176.42,-91.925,0,top
R47,10k,R_0402_1005Metric,175.98,-88.56,90,top
R48,10k,R_0402_1005Metric,176.27,-103.4,180,top
R49,1k,R_0402_1005Metric,176.385,-101.275,0,top
R50,10k,R_0402_1005Metric,175.85,-99.785,90,top
R51,10k,R_0402_1005Metric,176.745,-111.99,90,top
R52,1k,R_0402_1005Metric,174.52,-111.99,-90,top
R53,10k,R_0402_1005Metric,175.62,-110.935,90,top
R54,100k,R_0603_1608Metric,136.895,-94.4,-90,top
R56,140,R_0402_1005Metric,163.91,-115.425,180,top
R60,1K,R_0402_1005Metric,109.35,-105.415,90,top
U4,INA180B2,SOT-23-5,135.3575,-103.125,0,top
